Número do empenho;Ano de exercício;Categoria do empenho;Data do empenho;Histórico do empenho;Valor do empenho;Valor liquidado R$;Valor pago R$
 2747; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE CURITIBA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO VAN (328) PLACA BEV- 9G92 RD 866/2025.; R$ 100,00; R$ 100,00; R$ 100,00
 2746; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ARAPONGAS- PR TRANSPORTE DE PACIENTES. VEÍCULO VAN (329) PLACA BEV-9G93 RD 865/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2745; 2025; DIARIA; 24/04/2025;" REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE JACAREZINHO-PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (374)
 PLACA SEZ-0E26 RD 864/2025"; R$ 107,00; R$ 107,00; R$ 107,00
 2744; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO AMBULÂNCIA (332) PLACA BEZ- 3H94 RD 863/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2743; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA- PR. TRANSPORTE DE PACIENTES. VEÍCULO GOL (349) PLACA BEW-8H85 RD 862/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2742; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO AMBULÂNCIA (333) PLACA BEZ-3H95 RD 861/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2741; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO GOL (346) PLACA BEW-8I02 RD 860/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2740; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO SPIN ( 261)  PLACA BAW- 6774 RD 859/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2739; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO SPIN( 258) PLACA BAW-6778 RD 858/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2738; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA- PR. TRANSPORTE DE PACIENTES. VEÍCULO MICRO (231) PLACA AQY-4460 RD 857/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2737; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA- PR. TRANSPORTE DE PACIENTES. VEÍCULO AMBULÂNCIA (332) PLACA BEZ-3H94 RD 856/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2736; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-  PR. TRANSPORTE DE PACIENTES. VEÍCULO SPIN (261) PLACA BAW-6774 RD 855/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2735; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO GOL (349) PLACA BEW-8H85 RD 854/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2734; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA -PR TRANSPORTE DE PACIENTES. VEÍCULO SPIN (258) PLACA BAW  - 6778 RD 853/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2733; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA- PR TRANSPORTE DE PACIENTES. VEÍCULO POLO (368) PLACA SEZ-0E18. RD 852/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2732; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE JACAREZINHO -PR. TRANSPORTE DE PACIENTES. VEÍCULO VAN (329) PLACA BEV-9G93 RD 851/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2731; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-  PR. TRANSPORTE DE PACIENTES. VEÍCULO MICRO (267) PLACA BBP-1487 RD 850/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2730; 2025; DIARIA; 24/04/2025;" REFERENTE A 1 E 1/2 (UMA E MEIA) DIÁRIA A CIDADE DE CURITIBA-PR. TRATAR ASSUNTOS DE INTERESSE DO MUNICÍPIO .
 RD 848/2025."; R$ 1.447,50; R$ 1.447,50; R$ 1.447,50
 2729; 2025; DIARIA; 24/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO POLO (370) PLACA SEZ-0E20. RD 849/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2728; 2025; PROCESSO; 24/04/2025; Aquisição de Coffe Break por pessoa para atender o Gabinete do Prefeito em recepção a ser realizada no dia 08 de maio às 10h30min, conforme Solicitação da Chefe de gabinete em anexo.; R$ 96,55; R$ 96,55; R$ 96,55
 2727; 2025; CREDOR; 24/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0007615-04.2014.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 992,42; R$ 992,42; R$ 992,42
 2726; 2025; CREDOR; 24/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0000710-65.2023.8.16.0075 - JUIZADO ESPECIAL DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 5.932,14; R$ 5.932,14; R$ 5.932,14
 2724; 2025; PROCESSO; 24/04/2025; AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO, PARA ATENDER TIRO DE GUERRA, CONFORME SOLICITAÇÃO N0162; R$ 364,25; R$ 364,25; R$ 364,25
 2722; 2025; PROCESSO; 24/04/2025; AQUISIÇÃO DE AREIA, PARA ATENDER DEPTO DE OBRAS, CONFORME SOLICITAÇÃO N0157; R$ 3.391,20; R$ 3.391,20; R$ 3.391,20
 2721; 2025; PROCESSO; 24/04/2025; AQUISIÇÃO DE TIJOLO, PARA ATENDER REFORMA DAS CAIXAS DE GALERIAS PLUVIAIS EM DIVERSAS RUAS DA CIDADE, CONFORME SOLICITAÇÃO N0149; R$ 1.770,00; R$ 1.770,00; R$ 1.770,00
 2719; 2025; CREDOR; 24/04/2025; Contratação de empresa para fornecimento de Certificação Digital - A1 12 meses (arquivo) para uso do servidor Dulcinei Fidêncio da Silva Vilas-Boas (CPF: 587.932.839-20 / Matricula: 102119) na integração dos registros de vacinas no sistema da Rede Nacional de Dados em Saúde - RNDS, plataformas essa do Ministério da Saúde  MS que integra informações de saúde de diferentes sistemas, conforme Documento de Formalização de Demanda - DFD em anexo.; R$ 120,00; R$ 120,00; R$ 120,00
 2715; 2025; PROCESSO; 23/04/2025; Aquisição de porta lisa de madeira encabeçada 0,80 x 2,10 m para verniz para atender a Secretaria da Mulher, conforme Solicitação de Materiais n 0116 - SEMUCRI em anexo.; R$ 600,00; R$ 600,00; R$ 600,00
 2713; 2025; PROCESSO; 23/04/2025; Aquisição de 1 balcão de pia 1,50 m e  1 balcão de pia 1,20 m para atender o CERCEG, , conforme Solicitação de Materiais n 0102 - Secretaria Municipal de Saúde - SMS em anexo.; R$ 899,50; R$ 899,50; R$ 899,50
 2711; 2025; PROCESSO; 23/04/2025; Aquisição de pia para cozinha em aço inox de 1,20 m para atender o CERCEG, conforme Solicitação de Materiais n 0110 - Secretaria Municipal de Saúde - SMS em anexo.; R$ 240,50; R$ 240,50; R$ 240,50
 2710; 2025; PROCESSO; 23/04/2025; AQUISIÇÃO DE TUBO E FITA PVC, PARA ATENDER INSTALAÇÃO DE AR CONDICIONADO NA ESCOLA MUNIC. PROCOPENSE, CONFORME SOLICITAÇÃO N0141; R$ 711,55; R$ 711,55; R$ 711,55
 2709; 2025; CREDOR; 23/04/2025; RESCISÃO DE CONTRATO DE TRABALHO.; R$ 3.463,46; R$ 3.463,46; R$ 3.463,46
 2707; 2025; CREDOR; 23/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0004821-39.2016.8.16.0075 - 2 VARA DA FAZENDA PÚBLICA DA COMARCA DE CORNÉLIO PROCÓPIO.; R$ 1.704,26; R$ 1.704,26; R$ 1.704,26
 2705; 2025; PROCESSO; 23/04/2025;" AQUISIÇÃO DE COFFEE BREAK, PARA ATENDER CONFERÊNCIA DO IDOSO, NO DIA 30/04/2025, CONFORME MEMORANDO N004
DELIBERAÇÃO 008/2025 CONSELHO MUNICIPAL DO IDOSO - FONTE RECURSO 900"; R$ 3.475,80; R$ 3.475,80; R$ 3.475,80
 2704; 2025; PROCESSO; 23/04/2025; AQUISIÇÃO DE BOBINA TÉRMICA, PARA ATENDER SECR. DE SAÚDE E UBSS, CONFORME SOLICITAÇÃO N343; R$ 3.360,00; R$ 3.360,00; R$ 3.360,00
 2701; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE QUATÁ -SP. COMO MOTORISTA PARA LOCOMOVER ATLETAS DA TERCEIRA IDADE DA FECOP, QUE ESTARÃO PARTICIPANDO DA 2 ETAPA DA LIGA AMIGOS DE VOLEIBOL ADAPTADO DO OESTE PAULISTA- LAVOP, REALIZADO COM VEICULO MICRO ÔNIBUS PLACA AKL-2006.  RD 845/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2700; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO POLO (370) PLACA SEZ-0E20. RD 847/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2699; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO POLO (370) PLACA SEZ-0E20. RD 846/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2698; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE PONTA GROSSA- PR. COMO MOTORISTA PARA LOCOMOVER ATLETAS DA ASSOCIAÇÃO DE PAIS E AMIGOS DO JUDÔ DE CORNÉLIO PROCÓPIO , QUE ESTARÃO PARTICIPANDO DO CIRCUITO PARANAENSE SEB 09 E 11 DE JUDÔ- 1 ESTAPA, PROMOVIDO PELA FEDERAÇÃO PARANAENSE, REALIZADO COM PLACA SEB-8A87.  RD844/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2697; 2025; DIARIA; 22/04/2025; REFERENTE A 1 (UMA) DIÁRIA A CIDADE DE CURITIBA-PR. FÓRUM ESTADUAL ORDINÁRIO 2025. RD 843/2025; R$ 500,00; R$ 500,00; R$ 500,00
 2696; 2025; DIARIA; 22/04/2025;" REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (374)
 PLACA SEZ-0E26 RD 842/2025"; R$ 107,00; R$ 107,00; R$ 107,00
 2695; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO GOL (346) PLACA BEW-8I02 RD 841/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2694; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO GOL (349) PLACA BEW-8H85 RD 840/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2693; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA- PR. TRANSPORTE DE PACIENTES. VEÍCULO MICRO (267) PLACA BBP-1487 RD 839/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2692; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-  PR. TRANSPORTE DE PACIENTES. VEÍCULO MICRO (231) PLACA AYQ- 4460 RD 838/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2691; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO GOL(350)  PLACA BEW- 8H89 RD 837/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2690; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ARAPONGAS- PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (371) PLACA SEZ-0E21RD 836/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2689; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE SÃO JERÔNIMO DA SERRA -PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (372) PLACA SEZ-0E22 RD 835/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2688; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE BAURU-SP. TRANSPORTE DE PACIENTES. VEÍCULO POLO (368) PLACA SEZ-0E18. RD 834/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 2687; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE CURITIBA-PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (371) PLACA SEZ- 0E21RD 833/2025.; R$ 150,00; R$ 150,00; R$ 150,00
 2686; 2025; DIARIA; 22/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE MARINGÁ-PR. TRANSPORTE DE PACIENTES. VEÍCULO SPIN ( 261)  PLACA BAW- 6774 RD 832/2025; R$ 107,00; R$ 107,00; R$ 107,00
 2685; 2025; DIARIA; 22/04/2025; REFERENTE A 1 E  1/2 (MEIA) DIÁRIA A CIDADE DE SANTO ANTÔNIO DA PLATINA-PR. PARTICIPAR DO TREINAMENTO NA AGENCIA  DO TRABALHADOR  DE SANTO ANTÔNIO DA PLATINA - PR PARA EXERCER AS FUNÇÕES DE AGENTE IMO. RD 022025 COMPLEMENTAR DA RD 728/2025.; R$ 250,00; R$ 250,00; R$ 250,00
 2684; 2025; CREDOR; 22/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 1.0015406-87.2015.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 40,55; R$ 40,55; R$ 40,55
 2683; 2025; PROCESSO; 22/04/2025; Aquisição de materiais para instalação de aparelho de ar condicionado na UBS Conj. Vitor Dantas, conforme solicitação n 0164 da SEMURB.; R$ 232,90; R$ 232,90; R$ 232,90
 2682; 2025; PROCESSO; 22/04/2025; Aquisição de materiais para instalação do aparelho de ar condicionado na UBS Conj. Vitor Dantas, conforme solicitação n 0163 da SEMURB.; R$ 696,62; R$ 696,62; R$ 696,62
 2681; 2025; PROCESSO; 22/04/2025; AQUISIÇÃO DE COFFEE BREAK, PARA ATENDER CERIMÔNIA DE ABERTURA DA CONFERÊNCIA DA CIDADE, NO DIA 28/04, NO CENTRO CULTURAL, CONFORME MEMORANDO N074.; R$ 386,20; R$ 386,20; R$ 386,20
 2678; 2025; PROCESSO; 16/04/2025; Aquisição de materiais para manutenção e reposição dos materiais hidráulicos da Secretaria da Mulher, conforme solicitação n 0150 da SEMURB.; R$ 899,60; R$ 899,60; R$ 899,60
 2676; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE MEDICAMENTO COM ORDEM JUDICIAL, CONFORME SOLICITAÇÃO N 56/2025.; R$ 13.725,36; R$ 13.725,36; R$ 13.725,36
 2675; 2025; PROCESSO; 16/04/2025; Aquisição de Leites Especiais para atender o Departamento de Ação Social da Secretaria Municipal de Saúde - SMS, conforme Oficio n 237/2025 em anexo.; R$ 8.584,00; R$ 8.584,00; R$ 8.584,00
 2674; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE MATERIAIS ELÉTRICOS, PARA ATENDER PARQUE DE ILUMINAÇÃO PÚBLICA, CONFORME SOLICITAÇÃO N0178; R$ 5.609,03; R$ 5.609,03; R$ 5.609,03
 2670; 2025; PROCESSO; 16/04/2025; CONFECÇÃO DE PLACA, PARA ATENDER VIGILÂNCIA SANITÁRIA NA SUBPREF. DE CONGONHAS, CONFORME SOLICITAÇÃO.; R$ 232,25; R$ 232,25; R$ 232,25
 2669; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE MARMITEX MÉDIA, PARA ATENDER TIRO DE GUERRA, CONFORME SOLICITAÇÃO.; R$ 2.368,80; R$ 2.368,80; R$ 2.368,80
 2666; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE PÃO FRANCÊS, PARA ATENDER TIRO DE GUERRA, CONFORME SOLICITAÇÃO.; R$ 2.241,00; R$ 2.241,00; R$ 2.241,00
 2663; 2025; CREDOR; 16/04/2025; RATEIO CASA LAR/ABRIGO INSTITUCIONAL REGIONAL - 04/2025 - CONVÊNIO N 8/2025.; R$ 29.000,00; R$ 29.000,00; R$ 29.000,00
 2662; 2025; CREDOR; 16/04/2025; REFERENTE RECOLHIMENTO DE MULTAS  - AUTI N  X003019009 - CONFORME PARECER JURÍDICO E AUTORIZAÇÃO DO SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO.; R$ 410,60; R$ 410,60; R$ 410,60
 2661; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -  SAMU - REFERENTE FEVEREIRO/2025.; R$ 20.977,40; R$ 20.977,40; R$ 20.977,40
 2660; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -   SAMU - REFERENTE JANEIRO/2025.; R$ 22.263,76; R$ 22.263,76; R$ 22.263,76
 2659; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -  SAMU - REFERENTE DEZEMBRO/2024.; R$ 22.263,76; R$ 22.263,76; R$ 22.263,76
 2658; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -  CAPS ADIII E CAPS II - REFERENTE FEVEREIRO/2025.; R$ 16.169,19; R$ 16.169,19; R$ 16.169,19
 2657; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -   CAPS ADIII E CAPS II - REFERENTE JANEIRO/2025.; R$ 14.882,83; R$ 14.882,83; R$ 14.882,83
 2656; 2025; CREDOR; 16/04/2025; PISO DE ENFERMAGEM -  CAPS ADIII E CAPS II - REFERENTE DEZEMBRO/2024.; R$ 14.882,83; R$ 14.882,83; R$ 14.882,83
 2651; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE, PARA ATENDER ADMINISTRAÇÃO E DEMAIS SETORES, CONFORME SOLICITAÇÃO.; R$ 1.192,20; R$ 1.192,20; R$ 1.192,20
 2649; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE ÓCULOS E RESPIRADOR, PARA ATENDER GARAGEM MUNICIPAL, CONFORME SOLICITAÇÃO N004; R$ 840,00; R$ 840,00; R$ 840,00
 2646; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE TUBO E FITA, PARA ATENDER INSTALAÇÃO DE AR CONDICIONADO NA SALA DO PATRONATO, CONFORME SOLICITAÇÃO N0134; R$ 233,51; R$ 233,51; R$ 233,51
 2644; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE EPIS, PARA ATENDER GARAGEM MUNICIPAL, CONFORME SOLICITAÇÃO N08; R$ 1.879,25; R$ 1.879,25; R$ 1.879,25
 2637; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE CÓPIA DE CHAVE IAIE, PARA ATENDER ADMINISTRAÇÃO, CONFORME SOLICITAÇÃO.; R$ 480,00; R$ 480,00; R$ 480,00
 2633; 2025; PROCESSO; 16/04/2025; AQUISIÇÃO DE PROJETOR DE LED, PARA ATENDER ILUMINAÇÃO EXTERNA DO CEMEI LIA TREVISAN, CONFORME SOLICITAÇÃO N0132; R$ 120,00; R$ 120,00; R$ 120,00
 2631; 2025; PROCESSO; 16/04/2025; SERVIÇOS DE VIDRAÇARIA, PARA ATENDER UBS VILA INDEPENDÊNCIA, CONFORME SOLICITAÇÃO N0139; R$ 30,55; R$ 0,00; R$ 0,00
 2629; 2025; ADIANTAMENTO; 16/04/2025; ADIANTAMENTO REFERENTE À VIAGEM PARA CURITIBA-PR PARA O CURSO DA ESCOLA DE GESTÃO DO TRIBUNAL DE CONTAS DO ESTADO DO PARANÁ (05/05 A 08/05).; R$ 3.000,00; R$ 2.623,60; R$ 2.623,60
 2628; 2025; ADIANTAMENTO; 16/04/2025; ADIANTAMENTO REFERENTE À VIAGEM PARA VITÓRIA/ES PARA O XII ENCONTRO NACIONAL DAS PROCURADORIAS FISCAIS (DIAS 13/05 A 16/05); R$ 3.000,00; R$ 1.540,01; R$ 1.540,01
 2627; 2025; ADIANTAMENTO; 16/04/2025; ADIANTAMENTO REFERENTE À VIAGEM PARA VITÓRIA/ES PARA O XII ENCONTRO NACIONAL DAS PROCURADORIAS FISCAIS (DIAS 13/05 A 16/05); R$ 3.000,00; R$ 2.172,25; R$ 2.172,25
 2626; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0002907-27.2022.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 7.858,62; R$ 7.858,62; R$ 7.858,62
 2625; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0002907-27.2022.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 8.322,24; R$ 8.322,24; R$ 8.322,24
 2624; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0002907-27.2022.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 7.434,86; R$ 7.434,86; R$ 7.434,86
 2623; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0011514-34.2019.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 2.110,44; R$ 2.110,44; R$ 2.110,44
 2622; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0011514-34.2019.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 2.110,44; R$ 2.110,44; R$ 2.110,44
 2621; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0011514-34.2019.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 2.110,44; R$ 2.110,44; R$ 2.110,44
 2620; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0011514-34.2019.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 2.110,44; R$ 2.110,44; R$ 2.110,44
 2619; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0004523-37.2022.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 4.082,26; R$ 4.082,26; R$ 4.082,26
 2618; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0003377-24.2023.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 5.727,83; R$ 5.727,83; R$ 5.727,83
 2617; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0003288-84.2012.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 6.575,94; R$ 6.575,94; R$ 6.575,94
 2616; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0002118-91.2023.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 1.471,86; R$ 1.471,86; R$ 1.471,86
 2615; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0001841-75.2023.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 763,50; R$ 763,50; R$ 763,50
 2614; 2025; CREDOR; 16/04/2025; REFERENTE PROCESSO JUDICIAL - AUTOS N 0005538-90.2012.8.16.0075 - 1 VARA DA FAZENDA PÚBLICA DE CORNÉLIO PROCÓPIO.; R$ 589,83; R$ 589,83; R$ 589,83
 2613; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO POLO (370) PLACA SEZ-0E20. RD 831/2025; R$ 75,00; R$ 75,00; R$ 75,00
 2612; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ROLÂNDIA-PR. TRANSPORTE DE PACIENTES. VEÍCULO GOL (349) PLACA BEW-8H85 RD 830/2025; R$ 75,00; R$ 75,00; R$ 75,00
 2611; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE CURITIBA-PR. TRANSPORTE DE PACIENTES.  VEÍCULO AMBULÂNCIA (328) PLACA BEV- 9G92 RD 829/2025.; R$ 100,00; R$ 100,00; R$ 100,00
 2610; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ARAPONGAS -PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (368) PLACA SEZ-0E18. RD 828/2025.; R$ 75,00; R$ 75,00; R$ 75,00
 2609; 2025; DIARIA; 16/04/2025;" REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ARAPONGAS-PR. TRANSPORTE DE PACIENTES. VEÍCULO POLO (372)
 PLACA SEZ-0E22 RD 827/2025"; R$ 75,00; R$ 75,00; R$ 75,00
 2608; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-  PR. TRANSPORTE DE PACIENTES. VEÍCULO MICRO (231) PLACA AYQ- 4460 RD 826/2025.; R$ 75,00; R$ 75,00; R$ 75,00
 2607; 2025; DIARIA; 16/04/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA-PR. TRANSPORTE DE PACIENTES. VEÍCULO SPIN ( 261)  PLACA BAW- 6774 RD 825/2025; R$ 75,00; R$ 75,00; R$ 75,00
